Epoch,Episodes,TimeCost(sec),Actor_Loss,Critic_Loss,Success,CollisionsAvg,ExRewardAvg,Range
192/300,96000,95.25,6.92,1.0,0.49,1.14,-61.35,0.7
193/300,96500,99.59,6.75,1.0,0.47,0.0,-62.22,0.7
194/300,97000,99.84,6.78,0.97,0.49,0.05,-62.47,0.7
195/300,97500,100.91,6.69,0.97,0.61,0.35,-52.62,0.7
196/300,98000,100.36,6.55,0.97,0.6,0.73,-54.96,0.7
197/300,98500,99.04,6.29,0.99,0.69,0.02,-47.2,0.7
198/300,99000,100.49,6.3,0.95,0.78,0.24,-40.3,0.7
199/300,99500,102.35,6.18,0.97,0.75,0.0,-41.48,0.7
200/300,100000,97.7,6.01,0.97,0.9,0.0,-33.62,0.7
201/300,100500,95.52,5.93,0.94,0.35,0.93,-72.0,1.0
202/300,101000,96.13,6.01,0.94,0.36,1.9,-72.71,1.0
203/300,101500,95.0,6.09,0.93,0.35,2.51,-72.8,1.0
204/300,102000,99.15,6.22,0.91,0.39,0.76,-66.71,1.0
205/300,102500,97.64,6.19,0.92,0.44,0.92,-63.39,1.0
206/300,103000,98.59,6.25,0.89,0.39,0.7,-67.46,1.0
207/300,103500,96.15,6.28,0.92,0.41,0.28,-66.32,1.0
208/300,104000,99.86,6.21,0.91,0.53,1.08,-60.07,1.0
209/300,104500,102.93,6.09,0.87,0.41,2.05,-67.69,1.0
210/300,105000,98.93,6.06,0.9,0.38,1.21,-67.46,1.0
211/300,105500,102.14,6.19,0.94,0.5,0.72,-59.82,1.0
212/300,106000,99.77,6.19,0.95,0.54,0.89,-58.14,1.0
213/300,106500,99.21,6.2,0.95,0.55,0.69,-60.16,1.0
214/300,107000,98.71,6.12,0.91,0.55,0.4,-56.47,1.0
215/300,107500,100.61,6.02,0.95,0.64,0.77,-51.86,1.0
216/300,108000,99.52,5.87,0.93,0.65,1.8,-50.55,1.0
217/300,108500,101.37,5.78,0.88,0.67,1.98,-46.75,1.0
218/300,109000,101.48,5.88,0.93,0.67,0.66,-50.59,1.0
219/300,109500,100.32,5.9,0.93,0.71,1.64,-44.42,1.0
220/300,110000,100.68,5.97,0.92,0.65,1.05,-47.61,1.0
221/300,110500,101.21,5.95,0.9,0.76,1.19,-42.87,1.0
222/300,111000,101.08,5.98,0.96,0.72,2.91,-44.96,1.0
223/300,111500,99.96,5.98,0.94,0.9,1.43,-35.04,1.0
224/300,112000,104.91,6.01,0.95,0.77,4.36,-42.54,1.0
225/300,112500,100.33,6.07,0.94,0.75,1.56,-43.92,1.0
226/300,113000,101.33,5.93,0.97,0.79,2.76,-45.44,1.0
227/300,113500,102.53,5.92,0.89,0.77,3.48,-44.04,1.0
228/300,114000,102.35,5.95,0.91,0.91,4.32,-31.55,1.0
229/300,114500,101.16,6.05,0.98,0.73,2.26,-51.25,1.0
230/300,115000,98.35,6.09,0.95,0.8,3.19,-42.86,1.0
231/300,115500,98.49,6.17,0.95,0.75,2.22,-43.84,1.0
232/300,116000,100.63,6.09,0.99,0.77,3.18,-44.53,1.0
233/300,116500,100.22,6.09,0.97,0.85,3.1,-35.51,1.0
234/300,117000,100.96,6.08,0.95,0.82,4.17,-43.64,1.0
235/300,117500,103.73,6.02,0.96,0.85,2.88,-34.74,1.0
236/300,118000,103.77,6.05,0.93,0.84,2.16,-37.56,1.0
237/300,118500,103.42,6.13,0.96,0.78,5.0,-44.45,1.0
238/300,119000,101.97,6.19,1.0,0.78,3.82,-45.88,1.0
