tag: 
learn: normal
env: RandDynObstEnv-v1
render: False
scenario: 
control_mode: position
model_path: 
play_epoch: best
epochs: 350
cycles: 50
num_envs: 10
train_batches: 50
batch_size: 256
timesteps: 80
env_n_substeps: 20
num_obst: 1
gamma: 0.98
pi_lr: 0.001
q_lr: 0.001
act_l2: 1.0
polyak: 0.95
actor_layer_sizes: [512, 256, 128]
actor_batch_norm: [False, False, False]
critic_layer_sizes: [512, 256, 128]
critic_batch_norm: [False, False, False]
obj_lost_reward: -0.3
collision_reward: -0.5
clip_return: True
reward_min: -1.0
reward_max: 0.0
eps_act: 0.3
std_act: 0.2
buffer_size: 20000
buffer_type: energy
her: future
her_ratio: 0.8
pool_rule: full
goal_based: True
cur_acc: 0.0
obs_dims: [46]
acts_dims: [4]
compute_reward: <bound method RandDynObstEnv.compute_reward of <envs.rand_dyn_env.RandDynObstEnv object at 0x7f37752ac2b0>>
*** agent initialization complete ***
*** tester initialization complete ***


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
96/350              48000               90.74               20.23               0.19                0.2                 0.09                -88.48              0.1                 
97/350              48500               90.02               20.09               0.17                0.26                0.18                -83.63              0.1                 
98/350              49000               89.47               20.11               0.18                0.33                0.08                -78.43              0.1                 
99/350              49500               90.63               20.15               0.17                0.17                0.18                -90.93              0.1                 
100/350             50000               90.49               20.06               0.18                0.23                0.39                -86.89              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
101/350             50500               90.11               19.99               0.19                0.22                0.0                 -86.73              0.1                 
102/350             51000               90.05               17.05               0.25                0.23                0.61                -86.36              0.1                 
103/350             51500               91.11               18.62               0.23                0.31                0.38                -80.4               0.1                 
104/350             52000               90.57               19.93               0.23                0.28                0.08                -82.7               0.1                 
105/350             52500               91.12               20.05               0.23                0.22                0.6                 -87.38              0.1                 
106/350             53000               90.99               20.11               0.25                0.25                0.09                -84.53              0.1                 
107/350             53500               90.67               20.15               0.25                0.28                0.29                -82.22              0.1                 
108/350             54000               90.4                20.07               0.25                0.23                0.13                -86.33              0.1                 
109/350             54500               90.54               20.11               0.25                0.29                0.77                -82.48              0.1                 
110/350             55000               91.55               20.02               0.26                0.23                0.21                -86.63              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
111/350             55500               90.99               20.23               0.25                0.23                0.29                -86.14              0.1                 
112/350             56000               91.27               20.28               0.29                0.24                0.82                -85.48              0.1                 
113/350             56500               91.93               20.21               0.27                0.27                0.59                -83.25              0.1                 
114/350             57000               92.46               20.13               0.26                0.25                3.12                -85.54              0.1                 
115/350             57500               91.68               20.27               0.28                0.24                1.83                -85.89              0.1                 
116/350             58000               93.1                20.11               0.28                0.25                2.72                -86.24              0.1                 
117/350             58500               91.27               20.15               0.3                 0.25                0.84                -85.42              0.1                 
118/350             59000               91.75               20.3                0.31                0.22                1.36                -87.37              0.1                 
119/350             59500               91.72               20.36               0.31                0.25                0.17                -84.48              0.1                 
120/350             60000               91.1                20.46               0.3                 0.27                0.39                -82.93              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
121/350             60500               92.76               20.39               0.29                0.18                1.08                -90.95              0.1                 
122/350             61000               92.05               20.31               0.32                0.22                1.92                -87.82              0.1                 
123/350             61500               93.82               14.8                0.44                0.3                 1.61                -81.41              0.1                 
124/350             62000               93.92               13.38               0.4                 0.29                2.2                 -82.82              0.1                 
125/350             62500               93.27               14.77               0.4                 0.22                2.76                -86.92              0.1                 
126/350             63000               93.07               15.94               0.4                 0.21                0.71                -88.09              0.1                 
127/350             63500               92.16               17.07               0.37                0.32                0.74                -79.4               0.1                 
128/350             64000               92.34               18.04               0.35                0.22                1.89                -86.26              0.1                 
129/350             64500               92.77               18.63               0.35                0.3                 0.94                -80.96              0.1                 
130/350             65000               91.84               19.45               0.38                0.2                 0.08                -87.64              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
131/350             65500               91.92               19.96               0.36                0.19                1.55                -90.57              0.1                 
132/350             66000               92.51               20.36               0.37                0.23                0.32                -86.17              0.1                 
133/350             66500               91.81               20.84               0.39                0.24                0.41                -84.69              0.1                 
134/350             67000               91.38               20.99               0.37                0.23                0.35                -85.66              0.1                 
135/350             67500               91.18               21.15               0.38                0.15                0.5                 -92.4               0.1                 
136/350             68000               91.88               21.34               0.39                0.16                0.45                -91.97              0.1                 
137/350             68500               91.78               21.36               0.39                0.3                 0.27                -80.88              0.1                 
138/350             69000               92.7                21.37               0.4                 0.27                0.93                -83.66              0.1                 
139/350             69500               90.78               21.38               0.41                0.28                0.0                 -81.62              0.1                 
140/350             70000               91.89               21.28               0.44                0.27                0.67                -83.27              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
141/350             70500               92.04               21.3                0.44                0.18                0.0                 -89.19              0.1                 
142/350             71000               92.31               21.3                0.44                0.25                0.38                -82.21              0.1                 
143/350             71500               92.12               21.22               0.47                0.32                0.32                -79.19              0.1                 
144/350             72000               92.21               21.02               0.47                0.34                0.12                -78.62              0.1                 
145/350             72500               92.34               21.11               0.49                0.3                 0.54                -80.48              0.1                 
146/350             73000               93.32               20.99               0.5                 0.34                1.17                -78.73              0.1                 
147/350             73500               92.87               21.03               0.54                0.27                0.78                -83.79              0.1                 
148/350             74000               93.11               20.9                0.53                0.21                0.07                -87.82              0.1                 
149/350             74500               92.47               20.82               0.57                0.29                0.36                -80.63              0.1                 
150/350             75000               94.12               20.94               0.58                0.25                0.51                -83.68              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
151/350             75500               93.4                20.98               0.59                0.31                0.13                -78.28              0.1                 
152/350             76000               94.02               21.04               0.65                0.36                0.93                -73.61              0.1                 
153/350             76500               93.46               20.87               0.73                0.3                 0.92                -80.03              0.1                 
154/350             77000               94.64               20.57               0.75                0.51                0.02                -62.02              0.1                 
155/350             77500               93.92               20.24               0.8                 0.45                0.2                 -66.2               0.1                 
156/350             78000               94.27               19.93               0.83                0.43                0.02                -69.89              0.1                 
157/350             78500               95.15               19.24               0.88                0.56                0.68                -61.68              0.1                 
158/350             79000               96.17               18.97               0.89                0.64                0.0                 -49.08              0.1                 
159/350             79500               95.33               18.75               0.93                0.72                0.03                -45.73              0.1                 
160/350             80000               95.96               17.89               0.92                0.61                0.65                -54.01              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
161/350             80500               96.44               16.56               1.02                0.75                0.0                 -44.58              0.1                 
162/350             81000               97.63               15.1                1.13                0.76                0.08                -34.98              0.1                 
163/350             81500               98.55               11.22               1.13                0.88                0.0                 -29.86              0.1                 
164/350             82000               98.03               9.93                1.26                0.88                0.08                -30.03              0.1                 
165/350             82500               98.15               8.33                1.24                0.86                0.0                 -28.35              0.1                 
166/350             83000               97.75               7.61                1.18                0.79                0.0                 -34.95              0.1                 
167/350             83500               98.64               7.48                1.13                0.86                0.65                -29.57              0.1                 
168/350             84000               98.81               8.13                1.07                0.9                 0.0                 -25.21              0.1                 
169/350             84500               99.71               7.93                1.1                 0.44                0.58                -67.44              0.4                 
170/350             85000               98.72               7.22                1.14                0.74                0.0                 -44.19              0.4                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
171/350             85500               99.03               7.06                1.1                 0.8                 0.0                 -38.85              0.4                 
172/350             86000               98.67               6.6                 1.09                0.84                0.0                 -37.6               0.4                 
173/350             86500               99.11               6.56                1.09                0.82                0.07                -35.71              0.4                 
174/350             87000               99.69               6.67                1.12                0.89                0.0                 -31.48              0.4                 
175/350             87500               99.94               6.48                1.06                0.82                0.02                -33.38              0.4                 
176/350             88000               100.08              6.19                1.04                0.77                0.0                 -37.93              0.4                 
177/350             88500               100.18              6.14                1.01                0.82                0.13                -31.92              0.4                 
178/350             89000               101.5               5.88                1.01                0.8                 0.0                 -32.06              0.4                 
179/350             89500               99.7                5.7                 1.02                0.84                0.0                 -34.12              0.4                 
