tag: 
learn: normal
env: RandDynObstEnv-v1
render: True
scenario: lift_drawer_2
control_mode: position
model_path: /home/qiao/RL-Dyn-Env-main/log/RandDynObstEnv-v1/drawer
play_epoch: best
epochs: 150
cycles: 50
num_envs: 10
train_batches: 50
batch_size: 256
timesteps: 80
env_n_substeps: 80
num_obst: 1
gamma: 0.98
pi_lr: 0.001
q_lr: 0.001
act_l2: 1.0
polyak: 0.95
actor_layer_sizes: [512, 256, 128]
actor_batch_norm: [False, False, False]
critic_layer_sizes: [512, 256, 128]
critic_batch_norm: [False, False, False]
obj_lost_reward: -0.3
collision_reward: -0.5
clip_return: True
reward_min: -1.0
reward_max: 0.0
eps_act: 0.3
std_act: 0.2
buffer_size: 20000
buffer_type: energy
her: future
her_ratio: 0.8
pool_rule: full
goal_based: True
cur_acc: 0.0
obs_dims: [82]
acts_dims: [4]
compute_reward: <bound method RandDynObstEnv.compute_reward of <envs.rand_dyn_env.RandDynObstEnv object at 0x7f3113904460>>
*** agent initialization complete ***
*** tester initialization complete ***


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
114/150             57000               166.4               15.27               0.75                0.96                1.53                -42.75              0.1                 
115/150             57500               170.54              15.11               0.73                1.0                 0.93                -39.75              0.1                 
116/150             58000               170.59              15.88               0.74                1.0                 1.36                -41.54              0.1                 
117/150             58500               167.76              15.74               0.74                1.0                 1.21                -39.26              0.1                 
118/150             59000               169.15              15.78               0.69                1.0                 2.62                -43.21              0.1                 
119/150             59500               169.43              15.87               0.7                 1.0                 1.08                -39.05              0.1                 
120/150             60000               169.1               16.0                0.72                0.98                2.32                -41.78              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
121/150             60500               168.13              15.83               0.71                1.0                 1.37                -38.86              0.1                 
122/150             61000               168.25              16.1                0.68                0.95                3.46                -47.78              0.1                 
123/150             61500               171.15              16.07               0.68                1.0                 2.58                -42.04              0.1                 
124/150             62000               169.12              16.05               0.69                1.0                 2.31                -41.54              0.1                 
125/150             62500               168.57              16.29               0.68                0.98                3.11                -42.57              0.1                 
126/150             63000               168.87              16.53               0.68                0.99                1.7                 -41.8               0.1                 
