tag: 
learn: normal
env: RandDynObstEnv-v1
render: True
scenario: 
control_mode: position
model_path: 
play_epoch: best
epochs: 400
cycles: 50
num_envs: 10
train_batches: 50
batch_size: 256
timesteps: 80
env_n_substeps: 20
num_obst: 1
gamma: 0.98
pi_lr: 0.001
q_lr: 0.001
act_l2: 1.0
polyak: 0.95
actor_layer_sizes: [512, 256, 128]
actor_batch_norm: [False, False, False]
critic_layer_sizes: [512, 256, 128]
critic_batch_norm: [False, False, False]
obj_lost_reward: -0.3
collision_reward: -0.5
clip_return: True
reward_min: -1.0
reward_max: 0.0
eps_act: 0.3
std_act: 0.2
buffer_size: 20000
buffer_type: energy
her: future
her_ratio: 0.8
pool_rule: full
goal_based: True
cur_acc: 0.0
obs_dims: [82]
acts_dims: [4]
compute_reward: <bound method RandDynObstEnv.compute_reward of <envs.rand_dyn_env.RandDynObstEnv object at 0x7ff6decbfca0>>
*** agent initialization complete ***
*** tester initialization complete ***


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
127/400             63500               117.05              8.27                1.03                0.51                1.76                -65.79              0.7                 
128/400             64000               116.21              8.23                1.02                0.51                0.63                -62.63              0.7                 
129/400             64500               115.37              7.82                1.02                0.6                 0.12                -56.25              0.7                 
130/400             65000               116.73              6.85                1.03                0.54                0.1                 -57.04              0.7                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
131/400             65500               116.18              6.34                1.02                0.58                0.4                 -52.37              0.7                 
132/400             66000               116.13              6.15                1.02                0.71                0.11                -47.01              0.7                 
133/400             66500               120.87              6.01                0.97                0.73                0.47                -44.07              0.7                 
134/400             67000               117.3               5.95                0.96                0.76                0.2                 -34.3               0.7                 
135/400             67500               117.74              5.81                0.92                0.74                0.32                -41.27              0.7                 
136/400             68000               118.44              5.71                0.93                0.8                 0.11                -35.92              0.7                 
137/400             68500               115.15              5.57                0.9                 0.83                0.87                -36.52              0.7                 
138/400             69000               117.61              5.54                0.9                 0.83                0.12                -35.71              0.7                 
139/400             69500               118.2               5.51                0.87                0.82                0.86                -38.31              0.7                 
140/400             70000               121.36              5.36                0.84                0.89                0.31                -33.73              0.7                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
141/400             70500               117.37              5.26                0.79                0.87                0.12                -31.35              0.7                 
142/400             71000               119.0               5.24                0.81                0.88                0.06                -31.51              0.7                 
143/400             71500               122.07              5.25                0.8                 0.91                0.02                -29.2               0.7                 
144/400             72000               117.17              5.24                0.81                0.5                 1.25                -63.03              1.0                 
145/400             72500               116.55              5.3                 0.8                 0.55                0.65                -56.18              1.0                 
146/400             73000               117.02              5.33                0.78                0.56                1.01                -57.0               1.0                 
147/400             73500               118.62              5.36                0.78                0.57                0.48                -55.72              1.0                 
148/400             74000               119.28              5.39                0.79                0.58                2.91                -55.64              1.0                 
149/400             74500               118.75              5.46                0.8                 0.66                1.58                -48.39              1.0                 
150/400             75000               114.53              5.36                0.75                0.63                0.05                -52.85              1.0                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
151/400             75500               117.62              5.48                0.8                 0.66                0.58                -48.95              1.0                 
152/400             76000               119.41              5.52                0.78                0.67                3.37                -50.29              1.0                 
153/400             76500               119.37              5.5                 0.8                 0.71                1.04                -47.54              1.0                 
154/400             77000               121.1               5.62                0.83                0.7                 1.89                -46.55              1.0                 
155/400             77500               119.72              5.63                0.84                0.75                0.73                -44.83              1.0                 
156/400             78000               117.78              5.63                0.82                0.79                0.75                -41.95              1.0                 
157/400             78500               118.81              5.64                0.81                0.68                2.49                -47.99              1.0                 
158/400             79000               120.58              5.61                0.85                0.82                1.39                -42.32              1.0                 
159/400             79500               118.95              5.68                0.84                0.85                2.12                -38.69              1.0                 
160/400             80000               118.75              5.67                0.85                0.9                 1.5                 -33.73              1.0                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
161/400             80500               121.55              5.63                0.82                0.9                 3.83                -35.98              1.0                 
162/400             81000               116.84              5.67                0.83                0.84                3.83                -38.59              1.0                 
163/400             81500               117.7               5.76                0.81                0.85                5.69                -40.01              1.0                 
164/400             82000               119.67              5.81                0.86                0.74                8.17                -49.41              1.0                 
165/400             82500               123.63              5.84                0.81                0.81                8.16                -45.56              1.0                 
166/400             83000               116.62              5.86                0.9                 0.77                6.21                -46.45              1.0                 
167/400             83500               120.52              5.87                0.88                0.85                4.78                -40.7               1.0                 
168/400             84000               120.67              5.92                0.84                0.82                4.62                -39.36              1.0                 
